barcode,name,manufacturld,description,unitQty,Quantity,bIsWeighted,QtyInPackage,ItemPrice,AmountInStock
7290000554457,גבינה צפתית5% שומן 350ג,679,גבינה צפתית5%,גרמים,350,0,0,19.9,15
7290000554532,גב.צפתית מעודנת5% 200גרם,679,צפתית מעודנת 5%,גרמים,200,0,0,13.9,96
7290000554600,גבי.מוצרלה מגורדת22% 300,678,מוצרלה מגורדת,גרמים,300,0,0,24.9,33
7290000554686,לבנה בשמן זית+זעתר5% 250,678,לאבנה בשמן זית5%,גרמים,250,0,0,15,80
7290000554815,מוצרלה נקניק 22% במשקל,678,גבינת מוצרלה,גרמים,0,1,0,69,2
7290000554822,ריקוטה גד 5% שומן 250 גר,678,גבינת ריקוטה 5%,גרמים,250,0,0,14.5,72
7290000554839,גבינה מסקרפונה 40% 250 ג,678,גבינה מסקרפונה,גרמים,250,0,0,19.3,52
7290000560533,ג'ל גילוח אדג' לעור רגיל,279,אדג' ג'ל לגילוח,גרמים,198,0,0,15.9,43
7290000560540,אדג' פרו ג'ל רגיש 198 גר,279,אדג' ג'ל לגילוח,גרמים,198,0,0,15.9,61
7290000571119,גבינה גאודה 30% משקל,1058,גבינת גאודה,קילוגרמים,0,1,0,99,76
7290000571188,גב.גאודה תום עיזים משקל,1058,גבינת עיזים,קילוגרמים,0,1,0,139,97
7290000572628,"ח.חלווה לייט ללת""ס25*11ג",235,חטיף חלווה לייט,גרמים,275,0,0,11.9,57
7290000574066,לחם מלא פלוס שיפון 750 ג,412,לחם מלא,גרמים,750,0,0,14.9,95
7290000574141,לחם חיטה מלא 750 גרם,412,לחם חיטה מלא,גרמים,750,0,0,11.9,5
7290000574172,לחם קל מחיטה מלאה 750גרם,412,לחם קל חיטה מלאה,גרמים,750,0,0,13.9,42
7290000574257,לחם שחור קל פרוס 750 גרם,639,לחם שחור קל פר,גרמים,750,0,0,13.9,96
7290000574370,לחם שיפון קל 750 גרם,412,לחם שיפון קל,גרמים,750,0,0,15.1,52
7290000574455,לחם חיטה מלא +כוסמין750ג,96,לחם חיטה מלא,גרמים,750,0,1,13.9,74
7290000591643,"מצה 2.5 ק""ג לפסח",270,"מצה 2.5 ק""ג",קילוגרמים,2.5,0,0,24.9,13
7290000591728,"מצות ראשון 1 ק""ג",270,"מצות 1 ק""ג",קילוגרמים,1,0,0,11.9,44
7290000591742,קמח מצה לפסח 500 גרם,270,קמח מצה,גרמים,500,0,0,6.5,82
7290000598307,"מצה יהודה 2.5 ק""ג לפסח",726,מצה יהודה 2.5,קילוגרמים,2.5,0,0,28.9,78
7290000598314,מצה ירושלמי 2.5קג כ.לפסח,726,מצה ירושלמי 2.5ק,קילוגרמים,2.5,0,0,89.9,46
7290000598321,מצה שמורה 2.5 קג כ.לפסח,726,מצה שמורה 2.5 קג,קילוגרמים,2.5,0,0,109,94
7290000598390,מצות מצופות 200 גרם,726,מצות מצופות,גרמים,200,0,0,10.9,32
7290000604022,ביצים ארוזות L 12 יחידות,1058,ביצים L 12 יח',יחידה,1,0,0,11.3,80
