PriceUpdateDate;ItemCode;ItemType;ItemName;ManufacturerName;ManufactureCountry;ManufacturerItemDescription;UnitQty;Quantity;bIsWeighted;UnitOfMeasure;QtyInPackage;ItemPrice;UnitOfMeasurePrice;AllowDiscount;ItemStatus
2021-02-28 09:30;7290108200218;1;מסיר כתמים אבקה לכב.לבנה;רקיט בנקיזר;IT;וניש גולד;קילוגרמים;1.35;0;"ק""ג";1;30.00;22.22;1;1
2021-02-28 09:30;7290108200232;1;מסיר כתמים אבקה לכב.לבנה;רקיט בנקיזר;IT;וניש גולד אבקה;גרמים;470.00;0;100 גרם;1;14.80;3.15;1;1
2018-06-12 07:53;7290108201871;1;קפסולות ג'ל קולון 42יח;רקיט בנקיזר;IT;קולון ג'ל קאפס;יחידה;1.00;0;יחידה;1;39.90;39.90;1;1
2018-01-30 06:59;7290108350203;1;כריות קרצוף עם ספוג 9 יח;סנו;US;כריות קרצוף;יחידה;1.00;0;יחידה;1;9.60;9.60;1;1
2017-02-07 14:14;7290108350210;1;30שקיות אשפה חזקות75*65ס;סנו;IL;שקיות אשפה חזקות;יחידה;1.00;0;יחידה;1;24.90;24.90;1;1
2021-03-01 06:40;7290108350258;1;נייר טואלט פי 3 12גלילים;מפעלי ברונוס בעמ;IL;נייר טואלט סופט;מטרים;662.00;0;100 מטר;1;27.90;4.21;1;1
2021-03-01 06:50;7290108350531;1;ספארק לכלים קלאסי+משאבה;סנו מפעלי ברונוס בעמ;IL;ספארק לכלים;ליטרים;1.00;0;ליטר;1;10.00;10.00;1;1
2018-04-10 07:06;7290108350586;1;ספארק נוזל לכלים 1.5 ל';"סנו מפעלי ברונוס בע""\מ";IL;ספארק נוזל לכלים;ליטרים;1.50;0;ליטר;1;13.90;9.27;1;1
2018-04-10 07:06;7290108350616;1;מרכך מקסימה בלו 1 ליטר;"סנו מפעלי ברונוס בע""\מ";IL;מרכך מקסימה;ליטרים;1.00;0;ליטר;1;15.90;15.90;1;1
2018-04-10 07:06;7290108350623;1;מרכך מקסימה סופט סילק1ל;"סנו מפעלי ברונוס בע""\מ";IL;מרכך מקסימה;ליטרים;1.00;0;ליטר;1;15.90;15.90;1;1
